Dia,Piezas producidas,Max en cola,Tiempo en el que se llego al maximo
1,740,50,3597
2,741,47,3598
3,739,43,3596
4,748,56,3594
5,740,43,3586
6,754,54,3589
7,733,43,3586
8,744,47,3571
9,740,45,3593
10,740,45,3593
11,742,54,3619
12,741,41,3598
13,740,43,3598
14,736,46,3589
15,745,54,3590
16,745,54,3590
17,742,52,3590
18,741,48,3588
19,753,53,3589
20,749,52,3589
21,734,47,3613
22,744,53,3610
23,749,56,3597
24,749,56,3597
25,741,51,3622
26,735,45,3597
27,745,50,3595
28,742,47,3594
29,745,45,3589
30,744,49,3541
31,743,48,3597
32,745,45,3628
33,745,45,3628
34,736,45,3599
35,757,52,3588
36,735,48,3595
