
 numero N:1    promedio esperado fila a:29.991741    promedio esperado fila b:32.792164     promedio total:31.391953 


 numero N:2    promedio esperado fila a:29.826990    promedio esperado fila b:29.285280     promedio total:29.556135 


 numero N:3    promedio esperado fila a:29.024277    promedio esperado fila b:36.104820     promedio total:32.564548 


 numero N:4    promedio esperado fila a:28.305462    promedio esperado fila b:27.452042     promedio total:27.878752 


 numero N:5    promedio esperado fila a:33.792942    promedio esperado fila b:45.305080     promedio total:39.549011 


 numero N:6    promedio esperado fila a:41.810307    promedio esperado fila b:39.795097     promedio total:40.802702 


 numero N:7    promedio esperado fila a:45.767403    promedio esperado fila b:47.731979     promedio total:46.749691 


 numero N:8    promedio esperado fila a:63.698990    promedio esperado fila b:72.290352     promedio total:67.994671 


 numero N:9    promedio esperado fila a:37.196934    promedio esperado fila b:31.716364     promedio total:34.456649 


 numero N:10    promedio esperado fila a:44.251350    promedio esperado fila b:53.772785     promedio total:49.012068 

